date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,volume_ma,price_change,price_change_pct
2022-01-03,307.38,307.39,302.84,306.39,886284,,,,306.39,306.39,,,
2022-01-04,301.95,309.4,298.11,301.76,1804598,,,,303.8820833333333,303.98596153846154,,-4.6299999999999955,-1.511145925128099
2022-01-05,301.22,303.08,297.18,299.35,1623523,,,,302.1132101616628,302.32030556924593,,-2.409999999999968,-0.7986479321314799
2022-01-06,296.03,299.33,293.29,294.99,741285,,,,299.864691091954,300.2710724633564,,-4.360000000000014,-1.4564890596291957
2022-01-07,294.8,301.55,292.61,298.85,810832,,,,299.5890031487524,299.94151989775014,,3.8600000000000136,1.3085189328451818
2022-01-10,300.2,300.88,290.14,295.43,710436,,,,298.5781465792629,299.03789844482264,,-3.420000000000016,-1.1443868161284954
2022-01-11,297.53,298.44,294.01,294.43,1426254,,,,297.65250218335785,298.21840759312323,,-1.0,-0.338489659140917
2022-01-12,297.2,300.96,287.38,291.03,621106,,,,296.2704880510201,297.060177013166,,-3.400000000000034,-1.1547736304045264
2022-01-13,292.67,293.73,292.45,293.4,2069924,,,,295.70260334532145,296.51765842817935,,2.3700000000000045,0.8143490361818495
2022-01-14,292.68,293.04,284.22,289.85,861846,,,,294.59353728596454,295.5975864593291,,-3.5499999999999545,-1.2099522835719023
2022-01-17,289.89,291.58,285.53,289.37,1515134,,,,293.6377559110129,294.7898665226519,,-0.4800000000000182,-0.1656028980507207
2022-01-18,296.56,297.37,285.32,290.39,1922433,,,,293.0603155719614,294.24927359423646,,1.0199999999999818,0.3524898918339847
2022-01-19,288.48,295.08,287.7,293.84,1326992,,,,293.19569840847726,294.2013272664938,,3.4499999999999886,1.1880574399944832
2022-01-20,293.72,298.95,291.78,295.32,535462,,,,293.5573991443703,294.3269675275296,,1.4800000000000182,0.5036754696433388
2022-01-21,292.81,303.8,291.51,300.46,736709,,,,294.71370295609114,294.9904114097856,,5.139999999999986,1.7404848977380372
2022-01-24,302.14,305.83,298.24,304.23,2456655,,,,296.28634607436356,295.95694827773053,,3.7700000000000387,1.2547427278173595
2022-01-25,305.97,310.11,305.51,309.08,681317,,,,298.37674320867063,297.28905262943476,,4.849999999999966,1.5941886073036704
2022-01-26,313.69,316.54,310.07,315.41,1440572,,,,301.13354344795044,299.0793702814908,,6.330000000000041,2.04801345929857
2022-01-27,317.63,322.87,304.0,308.08,735292,,,,302.2488893020125,299.94716122449347,,-7.330000000000041,-2.3239592910814677
2022-01-28,300.61,318.49,297.14,311.78,825171,299.17199999999997,,,303.7690247626237,301.0630878596171,1186591.25,3.6999999999999886,1.2009867566865617
2022-01-31,317.37,318.82,307.02,307.9,874446,299.2475,,,304.424183178609,301.69507334501316,1185999.35,-3.8799999999999955,-1.2444672525498746
2022-02-01,310.96,318.54,310.64,314.85,945545,299.902,,,306.06986411084466,302.889151742335,1143046.7,6.9500000000000455,2.257226372198784
2022-02-02,315.69,323.28,310.05,320.61,1189273,300.96500000000003,,,308.3558316387589,304.4712652869615,1121334.2,5.759999999999991,1.8294425917103396
2022-02-03,324.19,325.98,322.56,324.56,562594,302.4435,,,310.89485404494457,306.23791998533085,1112399.65,3.9499999999999886,1.2320264495804922
2022-02-04,326.94,328.21,323.88,324.22,1903426,303.712,,,312.9768442445582,307.79767859698734,1167029.35,-0.339999999999975,-0.10475720976089731
2022-02-07,325.3,330.92,324.05,326.31,1457675,305.256,,,315.05510008905685,309.38334680201103,1204391.3,2.089999999999975,0.6446240207266696
2022-02-08,324.22,325.92,324.01,325.71,963151,306.82000000000005,,,316.7125363175902,310.7657924986751,1181236.15,-0.6000000000000227,-0.18387423002667047
2022-02-09,322.65,326.23,320.96,323.71,1091025,308.454,,,317.79917724169877,311.8503361769544,1204732.1,-2.0,-0.6140431672346569
2022-02-10,325.16,329.27,314.64,320.21,479448,309.79449999999997,,,318.1730155369055,312.544022126224,1125208.3,-3.5,-1.0812146674492595
2022-02-11,321.66,326.0,315.58,316.88,921521,311.14599999999996,,,317.9727563256643,312.9006460019198,1128192.05,-3.329999999999984,-1.039942537709626
2022-02-14,313.62,321.16,312.09,321.01,708502,312.72799999999995,,,318.44267277830244,313.5622137398279,1087860.45,4.1299999999999955,1.303332491794995
2022-02-15,313.6,328.58,307.07,326.83,753774,314.55,,,319.73921332134967,314.63654586776494,1029427.5,5.819999999999993,1.8130276315379668
2022-02-16,327.86,331.62,323.62,327.78,2337854,316.24699999999996,,,320.9812689406827,315.6935185036702,1079970.6,0.9499999999999886,0.2906709910350802
2022-02-17,326.18,329.31,325.23,327.39,1319945,317.8505,,,321.9706052667385,316.62819852900594,1119194.75,-0.38999999999998636,-0.1189822441881705
2022-02-18,331.08,336.33,314.52,319.23,811287,318.78900000000004,,,321.5477521232744,316.83490506599674,1122923.65,-8.159999999999968,-2.4924402089251285
2022-02-21,318.07,321.98,311.63,314.46,498684,319.30049999999994,,,320.45465673451463,316.64723330782914,1025025.1,-4.770000000000039,-1.4942204680011395
2022-02-22,318.24,320.68,310.0,311.34,523149,319.4135,,,319.0494954783991,316.22990588390104,1017116.7,-3.1200000000000045,-0.992177065445532
2022-02-23,307.36,316.81,302.99,314.39,2500525,319.3625,,,318.3313932353489,316.08588395245096,1070114.35,3.0500000000000114,0.9796364103552335
2022-02-24,316.35,320.37,313.5,314.82,779783,319.6995,,,317.7903777047818,315.98720931845224,1072338.9,0.4300000000000068,0.13677279811699083
2022-02-25,312.43,319.4,307.88,315.07,1068429,319.86400000000003,,,317.37133296794445,315.91598957625297,1084501.8,0.25,0.07941045676895797
2022-02-28,318.68,324.1,316.18,320.72,1119918,320.505,,,317.88705932829873,316.2876842877074,1096775.4,5.650000000000034,1.7932522931412231
2022-03-01,325.97,327.96,310.75,314.9,1444300,320.50750000000005,,,317.4270990794188,316.18066962082526,1121713.15,-5.82000000000005,-1.8146669992517017
2022-03-02,312.8,323.21,307.33,319.06,684942,320.42999999999995,,,317.67850545805294,316.4020425034658,1096496.6,4.160000000000025,1.3210543029533284
2022-03-03,326.33,328.16,318.81,321.52,911176,320.278,,,318.2698844897262,316.7944264270551,1113925.7,2.4599999999999795,0.7710148561399066
2022-03-04,318.17,325.66,315.31,322.55,1649371,320.19449999999995,,,318.92872189397326,317.2345534569011,1101222.95,1.0300000000000296,0.3203533217218224
2022-03-07,325.87,332.73,321.38,327.68,673391,320.263,,,320.27569185172507,318.0314047389273,1062008.75,5.1299999999999955,1.5904510928538285
2022-03-08,331.03,331.19,326.79,327.62,3427786,320.35849999999994,,,321.40602528388314,318.7612743355594,1185240.5,-0.060000000000002274,-0.018310546875
2022-03-09,329.25,334.56,326.5,332.51,1772673,320.7985,,,323.11489178532383,319.8056716605078,1219322.9,4.889999999999986,1.4925828703986177
2022-03-10,335.01,335.48,333.09,334.57,499601,321.5165,,,324.87770728737775,320.9251026674808,1220330.55,2.0600000000000023,0.6195302396920344
2022-03-11,338.03,339.06,332.75,335.21,1360381,322.433,312.7412,,326.46766562720165,322.00629557165246,1242273.55,0.6399999999999864,0.19129031293898535
2022-03-14,336.51,336.81,326.01,330.26,1591325,322.89549999999997,313.2186,,327.0512180960555,322.629994064602,1286414.7,-4.949999999999989,-1.4766862563765915
2022-03-15,333.95,338.02,328.21,333.13,1379368,323.2105,313.846,,327.98657319739453,323.4222544185982,1317694.4,2.8700000000000045,0.8690122933446398
2022-03-16,334.59,344.89,333.34,337.76,742126,323.70950000000005,314.6142,,329.4903921089559,324.50259492705567,1237908.0,4.6299999999999955,1.3898478071623588
2022-03-17,338.07,343.9,334.91,339.95,1444892,324.3375,315.5134,,331.0997570532417,325.6650650841437,1244155.35,2.1899999999999977,0.6483893889152048
2022-03-18,339.7,346.23,335.99,345.0,287553,325.62600000000003,316.4364,,333.23847467717803,327.1183712215961,1217968.65,5.050000000000011,1.4855125753787446
2022-03-21,347.21,355.44,340.5,344.4,2006501,327.123,317.4158,,334.9557810162776,328.41592580306394,1293359.5,-0.6000000000000227,-0.17391304347826875
2022-03-22,344.59,349.17,340.73,348.09,1303130,328.9605,318.489,,336.9765780474071,329.89162339078223,1332358.55,3.6899999999999977,1.0714285714285676
2022-03-23,346.54,350.24,341.26,341.6,1506143,330.321,319.5004,,337.68791780194806,330.7690174211482,1282639.45,-6.489999999999952,-1.8644603407164673
2022-03-24,342.5,342.89,335.27,338.05,1207093,331.48249999999996,320.3934,,337.7436256757928,331.3141639547387,1304004.95,-3.5500000000000114,-1.0392271662763464
2022-03-25,340.08,340.8,334.1,339.5,771380,332.704,321.3864,,338.0138490965259,331.92657021526895,1289152.5,1.4499999999999886,0.4289306315633734
2022-03-28,337.37,340.1,336.73,339.12,1522479,333.624,322.3814,,338.18403254603584,332.46433434763657,1309280.55,-0.37999999999999545,-0.11192930780559163
2022-03-29,337.18,338.18,328.47,332.98,633541,334.52799999999996,323.2332,,337.38338672710654,332.50285798116977,1268742.6,-6.139999999999986,-1.8105685303137498
2022-03-30,328.48,338.93,324.51,336.33,799094,335.3915,324.08299999999997,,337.2213228755688,332.7885900567448,1274450.2,3.349999999999966,1.0060664304162303
2022-03-31,335.95,336.0,328.76,333.82,1486541,336.00649999999996,324.853,,336.6980305344142,332.8655494451518,1303218.45,-2.509999999999991,-0.7462908453007455
2022-04-01,332.91,342.19,331.07,337.85,626151,336.7715,325.6008,,336.8752600159503,333.23726644124895,1252057.45,4.03000000000003,1.207237433347319
2022-04-04,333.34,337.48,332.21,336.8,1484940,337.2275,326.25219999999996,,336.86368136345675,333.50282532678324,1292634.9,-1.0500000000000114,-0.31078881160278016
2022-04-05,336.29,337.1,326.6,331.78,972875,337.4355,326.70619999999997,,336.0815657643275,333.37446898685477,1169889.35,-5.020000000000039,-1.4904988123515595
2022-04-06,333.65,334.69,329.35,333.89,629450,337.5045,327.07579999999996,,335.7443978705097,333.4128613160646,1112728.2,2.1100000000000136,0.6359635903309568
2022-04-07,331.72,336.58,328.95,331.43,769635,337.3475,327.5428,,335.0806378053806,333.26525346029405,1126229.9,-2.4599999999999795,-0.7367695947767205
2022-04-08,324.03,325.3,317.54,323.15,711236,336.7445,327.7702,,333.24513974790915,332.51253215424583,1093772.65,-8.28000000000003,-2.498265093684948
2022-04-11,323.92,324.02,319.86,321.56,1239536,336.30949999999996,328.04339999999996,,331.44741324572715,331.6977825352157,1076183.2,-1.589999999999975,-0.4920315642890194
2022-04-12,315.37,331.67,314.77,326.47,1796554,335.9765,328.2758,,330.68165278620233,331.30901470014925,1097042.5,4.910000000000025,1.526931210349547
2022-04-13,327.65,328.25,322.76,325.68,741992,335.3725,328.3772,,329.9121638516868,330.89053099539325,1097035.8,-0.7900000000000205,-0.24198241798634168
2022-04-14,326.83,330.79,315.68,320.79,1756215,334.4145,328.3018,,328.50874802440126,330.13981936379275,1112601.95,-4.889999999999986,-1.5014738393515081
2022-04-15,316.77,324.1,316.67,322.44,585265,333.2865,328.2662,,327.5750911024146,329.5676811467709,1127487.55,1.6499999999999773,0.5143551856354511
2022-04-18,320.53,330.11,319.67,326.46,708005,332.3895,328.26919999999996,,327.4035380996504,329.33681703879756,1062562.75,4.019999999999982,1.2467435802009597
2022-04-19,328.3,329.64,318.62,329.51,1052757,331.4605,328.3452,,327.7276100011667,329.349679738599,1050044.1,3.0500000000000114,0.9342645347056422
2022-04-20,329.22,333.51,326.24,326.91,703436,330.726,328.4092,,327.6018235712855,329.16851498620156,1009908.75,-2.599999999999966,-0.789050408181835
2022-04-21,327.39,327.67,327.0,327.16,1903182,330.18149999999997,328.5482,,327.5338505880302,329.01939485860987,1044713.2,0.25,0.07647364718117444
2022-04-22,321.95,332.56,316.88,331.31,2247466,329.772,328.8368,,328.1147975635956,329.18942959107994,1118517.5,4.149999999999977,1.2684924807433662
2022-04-25,336.72,336.87,321.49,323.28,1289177,328.97999999999996,328.8822,,327.3709815655738,328.75083358641666,1106852.4,-8.03000000000003,-2.4237119314237554
2022-04-26,324.05,332.76,321.52,329.44,400037,328.803,328.93440000000004,,327.68929245179356,328.80197585387583,1095177.2,6.160000000000025,1.905468943330857
2022-04-27,327.75,329.31,322.23,326.75,319960,328.324,328.9138,,327.54478578328644,328.64972154937936,1071220.5,-2.6899999999999977,-0.81653715395823
2022-04-28,320.13,328.07,317.22,323.72,2380303,327.81899999999996,328.8404,,326.9563567276136,328.28398739005655,1115908.6,-3.0299999999999727,-0.9273144605967731
2022-04-29,330.92,332.8,322.95,324.29,1394041,327.14099999999996,328.94160000000005,,326.5461477209064,327.98770922388786,1154303.1,0.5699999999999932,0.1760780921784333
2022-05-02,322.6,326.76,321.63,326.25,950763,326.61350000000004,329.1774,,326.500586506818,327.85881792221056,1127594.25,1.9599999999999795,0.60439729871411
2022-05-03,321.63,330.32,319.79,329.53,1152778,326.50100000000003,329.54119999999995,,326.96665034842124,327.98276242313636,1136589.4,3.2799999999999727,1.0053639846743234
2022-05-04,327.56,333.93,322.45,324.51,1026119,326.032,329.7436,,326.58870398502677,327.72522594805395,1156422.85,-5.019999999999982,-1.5233817861803112
2022-05-05,326.95,328.61,317.0,317.29,2141583,325.325,329.793,,325.1581336417175,326.9514260582826,1225020.25,-7.21999999999997,-2.224892915472554
2022-05-06,312.24,312.89,306.63,312.42,1144240,324.7885,329.74,,323.1984201948223,325.87396667055447,1246670.45,-4.8700000000000045,-1.5348734596110858
2022-05-09,307.16,320.11,305.38,316.2,638140,324.5205,329.64959999999996,,322.12173989571096,325.15672476249046,1216600.65,3.7799999999999727,1.2099097368926337
2022-05-10,318.86,328.26,314.65,323.33,973475,324.36350000000004,329.8182,,322.30762610491905,325.0212978657846,1175446.7,7.1299999999999955,2.2549019607843057
2022-05-11,317.76,325.47,314.37,324.7,2097224,324.3145,329.931,,322.67568369311164,324.99747946706555,1243208.3,1.3700000000000045,0.4237157084093557
2022-05-12,322.74,331.7,318.6,330.75,1695569,324.8125,330.1156,,323.91788638998145,325.42389971221587,1240176.0,6.050000000000011,1.8632583923621882
2022-05-13,331.83,332.58,326.47,328.88,1338517,325.1345,330.2422,,324.68128858165323,325.6800782551125,1277838.6,-1.8700000000000045,-0.5653817082388546
2022-05-16,326.9,331.11,315.12,319.77,1012755,324.8,330.084,,323.92570564101203,325.2420237565731,1293076.1,-9.110000000000014,-2.7700072974945256
2022-05-17,324.63,327.6,307.35,313.21,900412,323.985,329.79580000000004,,322.27713539114575,324.35025205691625,1285458.85,-6.560000000000002,-2.051474497294936
2022-05-18,313.14,321.14,312.27,317.16,510228,323.4975,329.48879999999997,,321.4898837313929,323.81735823216053,1275798.45,3.9500000000000455,1.2611347019571673
2022-05-19,319.71,319.75,309.06,309.59,2269870,322.619,328.9892,,319.65913226784386,322.76296217580625,1294132.85,-7.57000000000005,-2.3868079202926107
2022-05-20,310.59,318.78,305.72,305.89,1575980,321.348,328.4028,,317.5408041088964,321.5125446924769,1260558.55,-3.6999999999999886,-1.1951290416357119
2022-05-23,306.43,316.73,305.49,312.64,1947815,320.816,328.0504,,316.78683421052943,320.8550424031145,1293490.45,6.75,2.206675602340713
2022-05-24,313.34,314.94,310.86,314.25,3012960,320.05649999999997,327.67280000000005,,316.39655200876274,320.3655892425483,1424136.6,1.6100000000000136,0.5149692937564065
2022-05-25,311.99,319.59,309.74,319.07,2463751,319.6725,327.29900000000004,,316.807851713572,320.26958502379193,1531326.15,4.819999999999993,1.533810660302315
2022-05-26,314.12,327.65,310.98,320.72,1110176,319.52250000000004,326.9144,,317.4097206978635,320.30296024812577,1467819.8,1.650000000000034,0.5171279029680065
2022-05-27,318.07,328.06,317.78,322.29,836338,319.4225,326.4602,,318.16053291629356,320.4501939304604,1439934.65,1.5699999999999932,0.4895235719630797
2022-05-30,321.92,331.52,317.43,328.12,603994,319.516,326.1346,,319.6927586527365,321.0184905143501,1422596.2,5.829999999999984,1.808929845791063
2022-05-31,324.29,333.85,318.99,330.93,306254,319.58599999999996,325.7914,,321.4215650436957,321.75287119789493,1380270.0,2.8100000000000023,0.8563940021943273
2022-06-01,328.11,331.23,325.98,328.81,2246070,319.801,325.5356,,322.55824736126783,322.2757499003292,1441267.55,-2.1200000000000045,-0.6406188619949904
2022-06-02,326.52,333.65,324.7,330.22,776790,320.4475,325.379,,323.7369785510252,322.86434672381586,1373027.9,1.410000000000025,0.4288190748456655
2022-06-03,336.6,341.86,334.92,338.35,542377,321.744,325.356,,325.98513572053133,324.0116737389902,1342934.75,8.129999999999995,2.4619950336139507
2022-06-06,334.75,335.64,332.09,334.39,818687,322.6535,325.2614,,327.27819177496826,324.7805885609306,1351962.1,-3.9600000000000364,-1.1703856952859581
2022-06-07,336.88,343.48,333.84,342.62,2017360,323.618,325.4542,,329.63846998110677,326.10226504206906,1404156.35,8.230000000000018,2.4611980023326208
2022-06-08,344.5,353.19,326.03,330.75,865197,323.9205,325.3426,,329.8094746004814,326.44659926231014,1342555.0,-11.870000000000005,-3.464479598388892
2022-06-09,333.53,334.4,321.35,326.57,1653366,323.7115,325.1976,,329.31109389004337,326.455741472651,1340444.85,-4.180000000000007,-1.2637944066515527
2022-06-10,331.14,332.7,327.58,329.96,598159,323.7655,325.0398,,329.4109255997203,326.7153533826458,1303426.95,3.3899999999999864,1.038062283737018
2022-06-13,332.44,335.8,326.78,327.7,717632,324.16200000000003,324.8578,,329.14770627567617,326.7882998485206,1288670.8,-2.259999999999991,-0.6849315068493178
2022-06-14,326.32,334.6,324.48,330.82,2817949,325.0425,324.8386,,329.4049822341,327.0869810010053,1384547.65,3.1200000000000045,0.9520903265181513
2022-06-15,329.62,340.46,317.32,320.73,928477,325.221,324.5754,,328.0703695790324,326.61603994429805,1405460.1,-10.089999999999975,-3.049996977208147
2022-06-16,321.29,323.05,318.0,318.99,1310945,325.69100000000003,324.3266,,326.6733896405483,326.0510885873666,1357513.85,-1.740000000000009,-0.5425123936021015
2022-06-17,320.21,320.5,312.77,319.42,1592516,326.3675,324.252,,325.5574835398068,325.5598489283239,1358340.65,0.4300000000000068,0.13480046396439072
2022-06-20,318.17,328.78,317.94,322.74,2522558,326.87250000000006,324.2756,,325.1240245329611,325.3509523649264,1387077.8,3.319999999999993,1.0393838832884583
2022-06-21,318.83,322.81,314.35,318.23,1418444,327.0715,324.11080000000004,,324.0634053725499,324.8234303014203,1307352.0,-4.509999999999991,-1.3974096796182667
2022-06-22,324.99,325.14,321.26,321.65,785106,327.20050000000003,324.0302,,323.69211223786886,324.5883431887158,1223419.75,3.419999999999959,1.0746944034188965
2022-06-23,318.96,334.02,313.69,325.73,1309765,327.45099999999996,324.129,,324.00563343235905,324.6729164229177,1233399.2,4.080000000000041,1.2684595056738912
2022-06-24,323.96,333.95,323.88,333.44,3567116,328.0085,324.349,,325.45707444400404,325.3223731314929,1369938.1,7.7099999999999795,2.366991066220492
2022-06-27,329.83,345.61,327.16,340.51,1683474,328.628,324.63,,327.7729091465988,326.4474516787569,1423912.1,7.069999999999993,2.120321497120914
2022-06-28,347.59,351.26,334.15,338.84,1079569,329.0235,324.8166,,329.4755385097009,327.3654704648548,1462577.85,-1.670000000000016,-0.4904408093741819
2022-06-29,341.2,348.6,336.89,338.4,2143425,329.50300000000004,325.0464,,330.84853258584144,328.18288609572755,1457445.6,-0.4399999999999977,-0.12985479872505978
2022-06-30,335.54,341.38,331.26,335.78,1384003,329.781,325.2188,,331.6072198806593,328.7456627319926,1487806.25,-2.6200000000000045,-0.7742316784870029
2022-07-01,335.44,338.64,331.29,334.36,1263519,329.5815,325.2798,,332.03072451456075,329.1615583553341,1523863.35,-1.419999999999959,-0.42289594377269424
2022-07-04,336.25,341.69,326.52,327.77,1232703,329.2505,325.3696,,331.37522843519224,329.0584756466913,1544564.15,-6.590000000000032,-1.9709295370259672
2022-07-05,331.83,337.35,322.91,322.95,719215,328.267,325.2398,,330.0790394448191,328.60597844326486,1479656.9,-4.819999999999993,-1.4705433688256941
2022-07-06,322.22,327.56,313.74,322.96,2399699,327.8775,325.164,,328.98380260690897,328.1877428188642,1556382.0,0.009999999999990905,0.0030964545595368875
2022-07-07,320.05,328.51,319.8,325.1,1105403,327.804,325.1916,,328.386294513425,327.9590135333898,1528983.85,2.140000000000043,0.662620757988619
2022-07-08,325.83,329.26,324.09,326.71,1728667,327.6415,325.24,,328.12840304977976,327.86649116767654,1585509.25,1.6099999999999568,0.49523223623499923
2022-07-11,332.94,333.48,326.69,327.22,246634,327.61749999999995,325.2594,,327.98864873441005,327.8186015696742,1561959.35,0.5100000000000477,0.15610174160571866
2022-07-12,326.94,329.52,318.88,320.18,427376,327.0855,325.07239999999996,,326.7873181597473,327.2527643157066,1442430.7,-7.0400000000000205,-2.151457734857287
2022-07-13,327.05,328.46,316.98,323.38,678023,327.218,325.0498,,326.263115365889,326.9658858829532,1429908.0,3.1999999999999886,0.9994378162283768
2022-07-14,325.82,327.54,315.44,316.08,1545080,327.0725,325.0256,,324.6964822325463,326.1595057419448,1441614.75,-7.300000000000011,-2.257406147566332
2022-07-15,318.59,321.45,316.67,320.78,578010,327.1405,325.1928,,324.0939465044203,325.76101549655743,1390889.45,4.699999999999989,1.486965325234113
2022-07-18,325.2,327.91,319.5,322.07,822360,327.10699999999997,325.3102,,323.78257011910654,325.4876016437566,1305879.55,1.2900000000000205,0.40214477211797384
2022-07-19,317.67,320.4,314.85,316.75,1222354,327.033,325.1786,,322.70063625457465,324.8403602807427,1296075.05,-5.319999999999993,-1.6518148228645946
2022-07-20,320.36,325.79,315.41,316.22,844427,326.76149999999996,325.009,,321.7036152922903,324.20180446753557,1299041.1,-0.5299999999999727,-0.16732438831885688
2022-07-21,316.69,323.28,313.56,321.81,1864477,326.56550000000004,324.8302,,321.71998217040004,324.0246310411658,1326776.7,5.589999999999975,1.767756625134398
2022-07-22,322.65,323.12,322.61,322.72,674392,326.0295,324.707,,321.8738310672662,323.9279903284753,1182140.5,0.910000000000025,0.28277555079083694
2022-07-25,320.29,321.2,314.52,318.34,2296333,324.921,324.6784,,321.33016474921135,323.5140596606347,1212783.45,-4.380000000000052,-1.3572136836886628
2022-07-26,319.89,320.24,309.07,309.39,466403,323.4485,324.60200000000003,,319.493216326216,322.46782024475004,1182125.15,-8.949999999999989,-2.811459445875475
2022-07-27,306.77,309.87,305.72,309.65,788167,322.01099999999997,324.4518,,317.97887535292426,321.5183413442767,1114362.25,0.2599999999999909,0.08403632955169549
2022-07-28,312.18,312.2,302.41,307.32,860735,320.588,324.4064,,316.3390483755259,320.4666013462806,1088198.85,-2.329999999999984,-0.7524624576134342
2022-07-29,303.44,310.95,298.38,305.79,1771157,319.15950000000004,324.4044,,314.71611785619297,319.3794351536212,1113580.75,-1.5299999999999727,-0.4978524014056962
